_id;recvTime;LAT;LON;NO2;PM1;PM10;PM25
61696eec99f6325ace5f6d43;2021-10-15T12:07:06.116Z;64.74579;20.959072;-0.0010265944;0.009814374;0.010094714;0.0100945365
6169701899f6325ace5f6d48;2021-10-15T12:12:06.563Z;64.74579;20.959072;-9.34305E-4;0.0;0.0;0.0
6169714699f6325ace5f6d4f;2021-10-15T12:17:07.049Z;64.74579;20.959072;-9.2969055E-4;0.029443057;0.030284079;0.030283544
6169726f99f6325ace5f6d56;2021-10-15T12:22:07.469Z;64.74579;20.959072;-0.0011329101;0.019628748;0.020189429;0.020189073
6169739c99f6325ace5f6d5b;2021-10-15T12:27:07.982Z;64.74579;20.959072;-0.0011430711;0.0;0.0;0.0
616974c899f6325ace5f6d62;2021-10-15T12:32:08.420Z;64.74579;20.959072;1.4538493E-4;0.009814353;0.010094693;0.010094515
616975f499f6325ace5f6d69;2021-10-15T12:37:08.889Z;64.74579;20.959072;-9.774312E-4;0.009814353;0.010094693;0.010094515
6169772299f6325ace5f6d6e;2021-10-15T12:42:09.338Z;64.74579;20.959072;-0.0014404729;0.009814353;0.010094693;0.010094515
6169784d99f6325ace5f6d75;2021-10-15T12:47:09.798Z;64.74579;20.959072;-8.532737E-4;0.009814353;0.010094693;0.010094515
6169797a99f6325ace5f6d7c;2021-10-15T12:52:10.248Z;64.74579;20.959072;-0.0012308146;0.019628705;0.020189386;0.02018903
61697aa699f6325ace5f6d81;2021-10-15T12:57:10.740Z;64.74579;20.959072;-0.0013514168;0.0;0.0;0.0
61697bd699f6325ace5f6d88;2021-10-15T13:02:11.209Z;64.74579;20.959072;-9.505461E-4;0.0;0.0;0.0
61697d0399f6325ace5f6d8f;2021-10-15T13:07:11.660Z;64.74579;20.959072;-0.0013374034;0.0;0.0;0.0
61697e2c99f6325ace5f6d94;2021-10-15T13:12:12.123Z;64.74579;20.959072;-0.0012550212;0.009814353;0.010094693;0.010094515
61697f5899f6325ace5f6d9b;2021-10-15T13:17:12.570Z;64.74579;20.959072;-0.0012509018;0.0;0.0;0.0
