_id;recvTime;LAT;LON;NO2;PM1;PM10;PM25;Timestamp;devAddr
6051ebed99f63279b620ca3e;2021-03-17T11:45:49.807Z;64.75068;20.960518;-8.223684E-4;0.13740182;0.14132659;0.1413241;17-03-2021T12:45:49.0766+0100;2,02E+60
6051ed1d99f63279b620ca41;2021-03-17T11:50:50.290Z;64.75068;20.960518;-8.223684E-4;0.16684505;0.17161086;0.17160784;17-03-2021T12:50:50.0248+0100;2,02E+60
6051ee4999f63279b620ca44;2021-03-17T11:55:50.743Z;64.75068;20.960518;-8.223684E-4;0.1668447;0.17161049;0.17160746;17-03-2021T12:55:50.0696+0100;2,02E+60
6051ef7699f63279b620ca46;2021-03-17T12:00:51.187Z;64.75068;20.960518;-8.223684E-4;0.23554596;0.24227418;0.2422699;17-03-2021T13:00:51.0147+0100;2,02E+60
6051f0a099f63279b620ca48;2021-03-17T12:05:51.643Z;64.75068;20.960518;-8.223684E-4;0.18647388;0.19180039;0.191797;17-03-2021T13:05:51.0605+0100;2,02E+60
6051f1cd99f63279b620ca4b;2021-03-17T12:10:52.108Z;64.75068;20.960518;-8.223684E-4;0.25517422;0.26246312;0.26245847;17-03-2021T13:10:52.0066+0100;2,02E+60
6051f2fa99f63279b620ca4d;2021-03-17T12:15:52.580Z;64.75068;20.960518;-8.223684E-4;0.21591713;0.22208464;0.22208072;17-03-2021T13:15:52.0538+0100;2,02E+60
6051f42599f63279b620ca4f;2021-03-17T12:20:53.046Z;64.75068;20.960518;-8.223684E-4;0.16684505;0.17161086;0.17160784;17-03-2021T13:20:53.0007+0100;2,02E+60
6051f55199f63279b620ca52;2021-03-17T12:25:53.492Z;64.75068;20.960518;-8.223684E-4;0.1275874;0.13123184;0.13122952;17-03-2021T13:25:53.0453+0100;2,02E+60
6051f67d99f63279b620ca55;2021-03-17T12:30:53.938Z;64.75068;20.960518;-8.223684E-4;0.056109056;0.058853224;0.058847737;17-03-2021T13:30:53.0905+0100;2,02E+60
6051f7ab99f63279b620ca58;2021-03-17T12:35:54.448Z;64.75068;20.960518;-8.223684E-4;0.11777298;0.12113709;0.12113495;17-03-2021T13:35:54.0398+0100;2,02E+60
6051f8d699f63279b620ca5a;2021-03-17T12:40:54.868Z;64.75068;20.960518;-8.223684E-4;0.11402452;0.12184739;0.12182744;17-03-2021T13:40:54.0832+0100;2,02E+60
6051fa0399f63279b620ca5d;2021-03-17T12:45:55.353Z;64.75068;20.960518;-8.223684E-4;0.09397234;0.099446826;0.099434204;17-03-2021T13:45:55.0313+0100;2,02E+60
6051fb3099f63279b620ca60;2021-03-17T12:50:55.804Z;64.75068;20.960518;-8.223684E-4;0.07851532;0.08075806;0.080756634;17-03-2021T13:50:55.0768+0100;2,02E+60
