_id;recvTime;devAddr;Timestamp;NO2;PM1;PM10;PM25;LAT;LON
61ae238b99f63261d67cb809;2021-12-06T14:51:53.055Z;2044802;06-12-2021T15:51:53.0020+0100;0.017667178;0.22832464;7.6585636;0.34776527;64.751465;20.954414
61ae24f399f63261d67cb811;2021-12-06T14:57:55.320Z;2044802;06-12-2021T15:57:55.0275+0100;0.019276852;0.22730406;0.28415123;0.28289396;64.751465;20.954414
61ae252f99f63261d67cb814;2021-12-06T14:58:55.761Z;2044802;06-12-2021T15:58:55.0721+0100;0.018870037;0.15286456;0.15959617;0.15958413;64.751465;20.954414
61ae25b599f63261d67cb818;2021-12-06T15:01:05.782Z;2044802;06-12-2021T16:01:05.0751+0100;0.017696885;0.3478291;0.42996943;0.4272542;64.751465;20.954414
61ae274f99f63261d67cb821;2021-12-06T15:07:59.399Z;2044802;06-12-2021T16:07:59.0369+0100;0.018869083;0.17631258;0.18604447;0.18602288;64.751465;20.954414
61ae280799f63261d67cb827;2021-12-06T15:11:02.760Z;2044802;06-12-2021T16:11:02.0731+0100;0.01861928;0.22115447;0.23912588;0.23907626;64.751465;20.954414
61ae29ab99f63261d67cb82f;2021-12-06T15:18:03.382Z;2044802;06-12-2021T16:18:03.0345+0100;0.01790121;0.25284597;0.31109577;0.31000915;64.751465;20.954414
61ae29e799f63261d67cb833;2021-12-06T15:19:03.821Z;2044802;06-12-2021T16:19:03.0788+0100;0.018472202;0.22559392;0.27813601;0.27586958;64.751465;20.954414
61ae2a6099f63261d67cb836;2021-12-06T15:21:04.654Z;2044802;06-12-2021T16:21:04.0609+0100;0.018160086;0.27208522;0.34292907;0.34202796;64.751465;20.954414
61ae2c4499f63261d67cb841;2021-12-06T15:29:07.786Z;2044802;06-12-2021T16:29:07.0744+0100;0.017887687;0.2835749;0.35581678;0.34842032;64.751465;20.954414
61ae2cbc99f63261d67cb844;2021-12-06T15:31:08.625Z;2044802;06-12-2021T16:31:08.0577+0100;0.017836204;0.14139165;0.16399568;0.16336223;64.751465;20.954414
61ae2e6399f63261d67cb84c;2021-12-06T15:38:11.250Z;2044802;06-12-2021T16:38:11.0211+0100;0.018178634;0.21542904;0.2534294;0.2529848;64.751465;20.954414
61ae2e9f99f63261d67cb850;2021-12-06T15:39:11.688Z;2044802;06-12-2021T16:39:11.0657+0100;0.017562097;0.19571765;0.21926272;0.21746384;64.751465;20.954414
61ae2f1899f63261d67cb853;2021-12-06T15:41:12.518Z;2044802;06-12-2021T16:41:12.0472+0100;0.017830264;0.2595617;0.31389982;0.31323433;64.751465;20.954414
61ae30bf99f63261d67cb85c;2021-12-06T15:48:15.205Z;2044802;06-12-2021T16:48:15.0162+0100;0.017451407;0.2828153;0.33594772;0.33528444;64.751465;20.954414
61ae317499f63261d67cb862;2021-12-06T15:51:16.450Z;2044802;06-12-2021T16:51:16.0421+0100;0.01741202;0.23802495;0.2588473;0.25822604;64.751465;20.954414
61ae331b99f63261d67cb86b;2021-12-06T15:58:19.124Z;2044802;06-12-2021T16:58:19.0093+0100;0.018122984;0.16335873;0.1807339;0.18052031;64.751465;20.954414
61ae335899f63261d67cb86e;2021-12-06T15:59:19.614Z;2044802;06-12-2021T16:59:19.0572+0100;0.01850514;0.3237466;0.3886544;0.3877854;64.751465;20.954414
61ae33d199f63261d67cb871;2021-12-06T16:01:20.394Z;2044802;06-12-2021T17:01:20.0347+0100;0.018147249;0.25281045;0.28789935;0.2874626;64.751465;20.954414
61ae357899f63261d67cb879;2021-12-06T16:08:23.052Z;2044802;06-12-2021T17:08:22.0997+0100;0.0181364;0.24873732;0.8852536;0.34198785;64.751465;20.954414
61ae35b399f63261d67cb87d;2021-12-06T16:09:23.487Z;2044802;06-12-2021T17:09:23.0446+0100;0.01769756;0.24028525;0.24947438;0.2494609;64.751465;20.954414
61ae362c99f63261d67cb880;2021-12-06T16:11:24.309Z;2044802;06-12-2021T17:11:24.0263+0100;0.017726267;0.28423336;0.34796345;0.34629962;64.751465;20.954414
61ae37d299f63261d67cb88a;2021-12-06T16:18:26.959Z;2044802;06-12-2021T17:18:26.0919+0100;0.018367112;0.299092;0.3539108;0.35163435;64.751465;20.954414
